0,Europe has an opportunity to get its economy back on track in a way that creates good jobs and reinforces its global climate leadership. Here are 55 ideas on how Europe can develop and scale up the innovative technologies we'll need to reach net-zero. 
1,"The COVID-19 pandemic has set back efforts to end poverty, hunger, and malnutrition. Investing in  will speed the recovery by helping farmers adapt to climate change and rebuild food systems after the pandemic (via ). "
2,.30’s work in the community is as inspiring as his amazing record on the basketball court. I really appreciated the thoughtful conversation. 
3,Dr. Tunji Funsho’s work with  was essential in stopping wild polio in Africa and will help create a polio-free world for all. A well-deserved recognition. 
4,"This honor is well deserved. COVID-19 is not just a health crisis—it is also now a food crisis, and  is there to respond. I’m inspired by the thousands of people in the organization who have committed their lives to fighting hunger. "
5,"For the last 25 years, Dr. Firdausi Qadri, an immunologist and infectious disease researcher in Bangladesh, has been working to protect entire communities from cholera epidemics. "
6,I’m excited to see this kind of innovation. Detecting and predicting outbreaks earlier is critical to preventing epidemics. 
7,"The only way to eliminate the threat of COVID-19 somewhere is to eliminate it everywhere. By making sure poor countries are equipped to stop this disease, wealthy countries will help themselves and bring this crisis to an end sooner. "
8,Understanding this concept can help us measure our progress toward eliminating carbon emissions and serve as a guide to action. 
9,Developing and manufacturing vaccines won’t end the pandemic quickly unless we also deliver them equitably. Here is why it’s critical that vaccines are distributed in proportion to the global population:  
10,Great to see the UK commit vital funding to ensure COVID-19 vaccines are available for the world’s poorest people. PM 's plan will improve the way we prepare for future crises like this. 
11,": What do COVID-19 and malaria have to do with each other?  

When COVID-19 struck, it disrupted the entire global healt…"
12,"After 20 years of stunning advances toward global goals to improve health and reduce poverty, the COVID-19 pandemic stopped progress in its tracks. In our foundation’s Goalkeepers report, we survey the damage and discuss how to start reversing it. "
13,"To prevent the worst effects of climate change, we need innovation across all sectors—especially in the hardest to decarbonize sectors—to get us on a viable path to net-zero emissions. "
14,Dr. John Nkengasong is a true Goalkeeper. His leadership will help ensure Africa has the tools it needs to fight COVID-19:  
15,"Justice Ginsburg was a trailblazer who devoted her entire career to fighting for equal justice for women, because she knew it would improve life for everyone. America is a better place because of her service. I am inspired by her life and legacy. "
16,"My dad was the “real” Bill Gates. He was everything I try to be and I will miss him every day.

"
17,Thank you to the heroes everywhere working to keep us safe. I hope their stories inspire you just as much as they have me:  
18,These heroes represent the best of who we can be. Their efforts to solve the world’s challenges demonstrate our values as a society and they serve as powerful examples of how to make a positive difference in the world. 
19,": Some countries responded successfully to the pandemic – and more broadly, some are much more successful in protecting t…"
20,Clinical trials are critical to helping researchers better understand Alzheimer's. Improving how we identify and enroll participants in those trials will accelerate progress on diagnosing and treating the disease. 
21,I tackle every big new problem by asking two questions: Who has dealt with this problem well? And what can we learn from them?  will help to fill the gap in global health knowledge sharing and to accelerate progress in saving lives. 
22,"Of all the things I’ve learned from Warren Buffett (and there have been a lot), the most important might be what friendship is all about. Here’s why he’s a person that I admire as well as like: "
23,"Happy 90th birthday, Warren! "
24,"., thank you for making the world a healthier and more equitable place. Your understanding of how we can improve global prosperity, through support of organizations like , has been truly inspiring. Please now go take care of your own health."
25,": 6 months ago, Africa confirmed its first case of COVID19. Since then, there have been 1 million cases, affecting every country on…"
26,"If we’re going to address climate change, we need to find new ways to do things that don’t release greenhouse gases—including how we move around. "
27,Today we move one step closer toward a world without polio. This is an incredible milestone that’s worth celebrating. It is also an important reminder of what can be accomplished when we work together toward a common goal. 
28,": Thanks to the commitment of leaders from all 47 countries in the  Region, history was made today: the entire A…"
29,Mosquito City is home to the world’s largest captive colony of mosquitoes.  Institute is doing fascinating research there about mosquito behaviors and finding ways to outsmart them. 
30,Deaths from malaria have been cut by more than half since the year 2000. Increased bed net use is one of the main reasons why  WorldMosquitoDay
31,: Vaccines prevent millions of deaths every year by harnessing the body’s immune system to create defences against future infection…
32,"Ridding the world of preventable, treatable diseases like malaria will save millions of lives and lead to healthier, more prosperous communities. And that will make them better prepared to confront any new health challenges like COVID-19 in the future.  "
33,": As a community health worker in Kenya’s Homa Bay County, Evaline has helped her community dramatically reduce the number of…"
34,The progress the world has made against malaria is one of the greatest success stories ever. The COVID-19 pandemic only reinforces why eradicating malaria is so essential. 
35,"Move aside, . This is the still the world’s deadliest killer:  "
36,": A safe and effective COVID19 vaccine is the way out of this devastating pandemic🌍

Our Director of Vaccine R&amp;D, Melanie…"
37,"Because of long-standing barriers that are made worse by COVID-19, hundreds of thousands of students with promise may never start college. This would be disastrous for these young people and for the country. Here’s what we’re doing to help: "
38,": This commitment is critical. “Additional manufacturing capacity to begin producing doses for every country, not just the…"
39,Teaching special education takes an amazing person to figure out exactly what works for each child. Talking with Washington State Teacher of the Year Amy Campbell gave me an even greater appreciation for these educators:  
40,": Last month, over 1 billion students were affected by COVID19 school closures.

Even before the pandemic, the world wa…"
41,Our foundation is partnering with  to support teachers as they get ready to go back to school—in whatever form that takes—and will boost your donations to the classroom project of your choice today. 
42,"I always look forward to meeting Washington’s Teacher of the Year. This year’s recipient, Amy Campbell (_MrsCampbell), is a remarkable advocate for her students, and I loved learning about her approach to teaching special ed. "
43,Bill Foege was instrumental in the effort to eradicate smallpox (and is a personal hero of mine). Here he outlines how lessons learned from that campaign can apply to the fight against COVID-19. 
44,"The world did not do enough to prepare for a pandemic. We can avoid making the same mistake with climate change by:

1. Letting science and innovation lead the way
2. Making sure solutions work for poor countries too
3. Getting started now

"
45,Great tips from _Bergstrom about how to find reliable sources of information and test claims you may see about the pandemic in your social media feeds. 
46,": In our recent webinar,  called for community-led responses to coronavirus. These types of engagements ha…"
47,"If we learn the lessons of COVID-19, we can approach climate change more informed about the consequences of inaction, and more prepared to save lives and prevent the worst possible outcome. "
48,"In his final words, John Lewis challenges all of us to continue to stand up for what we truly believe. “Together, you can redeem the soul of our nation.” 

"
49,"The impacts of COVID-19 are driving worrying increases in malnutrition and health outcomes. However, there are clear actions that can be taken in both the near- and long-term. "
50,: The ’s support of  and  is instrumental to the research and development of the COVID19 vacci…
51,"In these challenging times, we can’t lose sight of the importance of combatting climate change. I’m excited to hear about how companies like  are finding a way to play a role. "
52,Science and innovation will help us beat COVID-19. Dr. Fauci explains why. 
53,It’s important that we continue to follow scientific data as we look for new tools to aid in the fight against coronavirus.  
54,"_org: ""We all have an obligation, a mission, and a mandate to do what we can. We must speak up for those who have been left out and…"
55,"“I truly believe that if there is faith and hope and determination, we can continue to lay progress and create an American community at peace with ourselves.” 
 
John Lewis will continue to inspire generations of Americans.

"
56,"It’s hard to overstate how important finding a reliable, affordable, and easy-to-use diagnostic is for stopping Alzheimer’s. This is a big step towards that goal. "
57,Investments in digital technology that strengthen Africa’s food and health security will be critical to help the continent recover and thrive after the pandemic. 
58,": Three lessons that have been central to the COVID19 response in South Africa, Liberia, &amp; other countries:
🔸 Screening…"
59,"""Our best strategy in the age-old fight against the germs is our collaborative, data-based effort to study the world around us and within us. Our best strategy is science.""  explains how vaccines have dramatically improved humanity’s ability to fight infectious disease. "
60,": Not many of us get to live to see our own legacy play out in such a meaningful, remarkable way. John Lewis did:

"
61,"This is a great loss for America, and for everyone who believes in making the world a more just place. John Lewis not only saw that our country could be better--he never stopped working to make it that way. We need leaders like him more than ever. "
62,": Decision-makers can take steps right now to make sure the world recovers from this pandemic stronger, more prepared &amp; mor…"
63,"Globally, a lack of medical oxygen–needed to treat pneumonia, malaria, and other diseases–leads to hundreds of thousands of deaths each year.  founded _Tele to address this often-overlooked challenge. "
64,This hero is playing a critical role in Kenya’s preparations to tackle COVID-19 by scaling up medical oxygen supplies that will be needed to keep the most critically ill patients alive. 
65,: Here's what Juneteenth means to me: 
66,: “It’s that clarity of language about the VALUE of black life in America that distinguishes Juneteenth as emancipation…
67,": ""And I’ll never lose my faith that you and I can create an anti-racist America where racial disparities are nonexistent.…"
68,": When I think of emancipation, I think of all of the people who fought for freedom but who never got a chance to experien…"
69,: Happy Juneteenth fam! My latest for the . Find joy today! The images from the article alone are giving me l…
70,": Thinking today about my great-grandfather &amp; his family who were enslaved here in Montgomery County, Maryland (just about 25…"
71,": “Only those feigning blindness fail to see the body of work we are, and the work of body we have done. 

Everything is what it is…"
72,: Juneteenth recognizes &amp; celebrates Black people’s freedom and the end of slavery in the US!  19 Jun 1865 Union Army Genera…
73,_org: It's time to end the silence about our history of racial injustice in America. Juneteenth 
74,: Proud to share my thoughts in ’s “injustice issue” on (and for) our beloved young people I call the TrayvonGene…
75,"_Nyongo: 1. This is Opal Lee, the force behind the movement to make Juneteenth a national holiday. Also known as Freedom Day, it…"
76,I am committed to listening and learning more about systemic racism and what I can do with my actions and words to help create a more equal and just future. Black lives matter.
77,"…in policing, criminal justice, education, health care, housing, the workplace and all other areas of their lives."
78,"The horrifying killings of George Floyd, Ahmaud Arbery, Breonna Taylor and far too many other Black people—and the protests they sparked—are shining a light on the brutal injustices that Black people experience every day…"
79,: Today world leaders pledged to fully support ’s mission to give more children access to lifesaving vaccines and b…
80,: The video of George Floyd’s brutal death broke my heart. I’ve watched the protests that followed and have felt overwhelme…
81,I continue to be inspired by all of the volunteers (including many retired health care workers and teachers) on the front lines of the fight against coronavirus each day. 
82,Here are five books to read this summer if you want to learn more about pandemics or are looking for a distraction:  
83,"Melinda recommended that I read The Choice, and I’m glad she did. I think many people will find comfort right now from Dr. Edith Eva Eger's suggestions on how to handle difficult situations. "
84,Today is RedNoseDay. Their work has made an incredible impact to reduce child poverty in the US and around the world. 
85,The 1918 influenza outbreak is the closest comparison to what we’re living through right now. John Barry does a great job explaining the realities and lessons of that devastating pandemic. 
86,"Most of my conversations these days are about COVID-19 and how we can stem the tide, but I’m also often asked about what I am reading and watching. Here are my 2020 summer book recommendations (plus a few other ideas for things to do at home). "
87,"  Thank you for the conversation and partnership, . Combating the pandemic requires global collaboration. India’s role is key as the world works to minimize social and economic impact, and pave the way to vaccine, testing, and treatment access for all. "
88,I’m hopeful that this program will improve our understanding of the coronavirus outbreak in Seattle and provide valuable information about the virus for other communities around the world. 
89,": When will America be able to get back to work? 

The answer depends on whether workers have caregiving options they can r…"
90,"Class of 2020, these are not easy times. But we will get through them. And with your leadership, the world will be stronger than before. "
91,: To overcome COVID19 the world doesn’t just need science. It needs a commitment to help people beat this virus wherever t…
92,There are over 100 different coronavirus vaccine candidates in the works. These candidates take a variety of approaches to protecting the body against COVID-19:  
93,Humankind has never had a more urgent task than creating broad immunity for coronavirus. It’s going to require a global cooperative effort like the world has never seen. But I know we’ll get it done. There’s simply no alternative. 
94,": Developing a vaccine against COVID19 is among the first steps to a solution.

Distributing the vaccine safely, effect…"
95,We don't yet have all the tools we need to stop the novel coronavirus and safely re-open the economy. But they are on the horizon. 
96,This is a great introduction to computer science concepts for students at all levels. I’m looking forward to joining today’s Code Break. 
97,Halting funding for the World Health Organization during a world health crisis is as dangerous as it sounds. Their work is slowing the spread of COVID-19 and if that work is stopped no other organization can replace them. The world needs  now more than ever.
98,. does an amazing job capturing the heroism of the health care workers on the front lines of the coronavirus fight. 
99,On WorldHealthDay — and every day — I want to thank all of the health heroes for their sacrifices and for keeping us safe. 
100,"I always enjoy chatting with , even though we had to sit a little bit further apart than usual this time. "
101,It’s encouraging to see the first projects begin from our effort to accelerate safe and effective drugs for COVID19. 
102,"I’m excited to join the  Daily Homeroom today to talk about the incredible ways parents, teachers, and students are coming together to keep learning while schools are closed. "
103,"If we make the right decisions now—informed by science, data and the experience of medical professionals—we can save lives and get the country back to work. You can read more about my thoughts on COVID19 on my blog. "
104,"In the meantime, frontline health care workers are making heroic efforts to test and treat patients across the United States and the world. Here in my hometown, Public Health Seattle &amp; King County () is doing incredible work that we should all be very proud of."
105,"All the work that rich countries are doing now to develop vaccines will save lives in developing countries too. Without a vaccine, those countries are at even greater risk than wealthy ones, because it’s even harder for them to do physical distancing and shutdowns."
106,"If everything goes well, there might be an effective vaccine in less than 18 months—the fastest a vaccine has ever been developed. That will depend on decisions we make today, including the federal government investing in building up manufacturing capacity."
107,"Work is going full speed on potential treatments, and vaccines. But people should know that it will take time to prove they are safe and effective and to start making them."
108,"There’s been some progress on more efficient testing methods, such as the self-swab developed by the Seattle Coronavirus Assessment Network. I hope this and other innovations in testing are scaled up across the country soon. "
109,"The federal government needs to step up on testing: far more tests should be made available, and we should aggregate the results so we can quickly identify potential volunteers for clinical trials and know with confidence when it’s time to return to normal."
110,"Extreme physical distancing measures will make a big difference in the U.S., but we need a consistent nationwide approach. Until the case numbers start to go down across America—which could take 10 weeks or more—no one can continue business as usual or relax the shutdown."
111,There’s no question the United States missed the opportunity to get ahead of the novel coronavirus. But the window for making important decisions hasn’t closed. The choices we and our leaders make now will have an enormous impact. 
112,I’m inspired by the generosity of everyone who has contributed to this effort to help keep kids learning at home. Thank you to  and especially the educators who are doing amazing things for their students every day. 
113,"One of the questions I am most often asked about the COVID19 pandemic is how, and when, it will end. This article by 209 does a really good job of outlining the steps we need to take. "
114,"This impressive new tool from _UW will help hospitals, policymakers, and the general public better understand and prepare for the COVID19 response in the U.S. "
115,"This is encouraging news, but we still have a lot of work to do. Extreme physical distancing and testing are the best tools we have right now to slow the spread of novel coronavirus. "
116,"There are few people I’ve learned more from over the years–especially about viruses–than Peter Piot. This Q&amp;A with him is an excellent, easy-to-understand primer on COVID19:  "
117,"I’ve been impressed by governors across the country including , , , , , and the many others who are guiding their communities through this challenge and providing a model for us all to follow."
118,Thanks to Norway and Prime Minister _solberg for their ongoing leadership in global health and important investments in vaccines. 
119,The international response will require funding for ’s development of a COVID-19 vaccine and for . Thanks to  and the UK for this vital commitment. 
120,Lots of people in Seattle have asked how they can help those impacted by COVID19 locally.  has done a great job identifying organizations who are already on the ground and deploying resources quickly to help our friends and neighbors:  
121,"Thanks for your leadership, . This is an inspiring contribution and will make a big difference for families. "
122,"Teachers are doing incredible work to keep kids learning while at home. To help get supplies to those most in need, Melinda and I will double your impact, up to $1 million total, when you give to  coronavirus relief effort today and tomorrow. "
123,I’m connecting live with  and  to talk about what our healthcare systems need to tackle the COVID19 pandemic and prepare for future epidemics. 
124,Thanks  for joining me yesterday to discuss the COVID19 pandemic and what we can do to prevent the next one. Here's a recap of the conversation:  
125,I’m answering your questions about the COVID19 coronavirus on  in 10 minutes:  
126,"I know many parents are looking for resources and ideas to help their kids continue learning while home.  has created daily schedules with interactive content--exercises, videos and articles--for students in every grade. "
127,"We don’t yet have all the tools we need to fight COVID-19. This is an important step toward having treatments, while we also explore vaccines and diagnostics. Thanks to  and  for launching this effort with us. "
128,"COVID-19 could be a once-in-a-century pandemic, but the good news is that there are steps we can take now to slow its impact and help us respond more effectively when the next epidemic arrives. COVID19 "
129,1 in 4 children under five in South Africa are stunted. The  Campaign is empowering new and pregnant moms to keep their children healthy. Here’s why I’m optimistic that they can make an impact:  
130,Melinda and I have met many stunted children in our travels. It’s heartbreaking and utterly preventable. Dr.  is leading an incredible effort to eliminate child stunting from South Africa over the next decade. 
131,Climate change is one of the toughest challenges the world has ever taken on. But I believe we can avoid a climate catastrophe if we take steps now to reduce emissions and find ways to adapt to a warmer world. Here’s how we’re approaching the challenge:  
132,"When Warren Buffett donated the bulk of his fortune to our foundation and joined us as a partner in its work, he urged us to “swing for the fences.” All these years later, that advice still guides how we think about our philanthropy:  "
133,"Diseases that cause dementia are only diagnosed after symptoms start. To effectively treat these diseases, we need to be able to diagnose them decades earlier when they first take hold in the brain. "
134,"We’re hopeful that our foundation’s work with Networks for School Improvement will help increase the number of Black, Latinx, and low-income students who graduate from high school and pursue postsecondary opportunities. Here’s why that’s so important:  "
135,It was a magical night. I'm very happy to support your foundation's incredible work. 
136,Vaccines are a miracle. But how exactly do they work? I explain the science behind vaccines and why our foundation’s investment in them is one of the best we’ve ever made:  
137,Science is giving us the opportunity to improve lives around the world faster than ever before. Today I was honored to give a speech on this subject at the  annual meeting. AAASmtg 
138,This is an incredible story about the power of vaccines. 13 million people are alive today thanks to . Here’s how:  
139,"The only way we'll achieve net-zero carbon emissions is if we innovate, deploy, and invest across all sectors. It's encouraging to see companies working to get our planet one step closer. Congratulations to all the winners of the BreakthroughCanada initiative. "
140,"When we first started our foundation, Melinda and I were optimistic about the power of innovation to drive progress. Twenty years later, we’re just as optimistic, and we’re still swinging for the fences:  "
141,"In our new annual letter,  and I write about why we think the risks we’ve taken in the first two decades of our foundation have set us up for future progress. "
142,": The world must work together to slow the coronavirus outbreak, protect the most vulnerable, &amp; develop tools to control this ep…"
143,"   Roger’s foundation partners with local NGOs in six countries in southern Africa to improve early learning and basic education. It’s an impressive organization, and I encourage you to consider supporting its work: "
144,"I’m excited to team up with  again for the Match in Africa Friday in Cape Town. Playing alongside Roger is always a thrill, and I can’t wait to face off against  and . "
145,"As we conclude our foundation’s second decade of work in global health and education, I have never been more optimistic about the opportunity to improve life for the world’s poorest. I look forward to partnering with you on the work ahead. "
146,"Thank you, Sue, for all of your contributions to our foundation. I look forward to continuing our work together on important health and education projects that will improve lives. "
147,Game on! 
148,"If the world keeps up the fight against these neglected tropical diseases, we can improve the lives of millions of families:  WorldNTDDay "
149,"The world has only begun to tap into all the ways AI will help people live healthier lives. I’m excited about the launch of ’s new AI for Health initiative, which connects researchers and organizations with world-class AI talent and resources. "
150,: We are committing $10 million in emergency funds and corresponding support to assist frontline responders in China and…
151,I joined  ten years (and a couple of days) ago. These are some of my favorite tweets. What’s your favorite tweet from the last ten years? 
152, There are still too many children—many living in some of the hardest-to-reach places on the planet—who aren’t getting basic vaccines. Gavi is the best tool we have to reach them.  VaccinesWork
153,"For twenty years,  has worked to ensure that every child in the world is protected from preventable diseases. The results are incredible. But their work is far from done. "
154,"I had a fascinating conversation with Vaclav Smil about what bacteria, babies, empires, and economies all have in common:  "
155,It's great to see Microsoft's leadership in this area. Avoiding the worst effects of climate change will require innovation and investment to get us to net zero carbon emissions across all sectors of the economy. 
156,These global health heroes have helped Bangladesh become a model for other countries for how to respond to infectious disease outbreaks:  
157,"It’s encouraging to see these results. Typhoid is especially deadly for young children, and a vaccine like this has the potential to save millions of lives. "
158,"Thanks to the work of this father–daughter dynamic duo, Bangladesh is moving toward a future of fewer disease outbreaks and more children reaching their fifth birthday. "
159,Solving the world’s toughest challenges—like fighting the worst impacts of climate change—requires lots of new ideas and talented people working across many fields. I’m glad to see this effort to support this important work. 
160,Progress isn’t always easy to see. These charts show some of the ways that the world is getting better. 
161,America’s tax system will be top of mind for many in 2020. Here’s what I really think. 
162,"If your New Year’s resolution is to be healthier in 2020, this book is a good place to start. "
163,I’m glad __news is highlighting some of the amazing things happening in the world. 
164,: Sir Fazle was a humanitarian who helped us learn about development work: Building an efficient organization while never f…
165,"Vaclav Smil is one of my favorite thinkers, and I couldn’t wait to get my hands on his new book about the growth of *everything*. "
166,What’s next for our foundation? I’m particularly excited about what the next year could mean for one of the best buys in global health: vaccines. 
167,"I’ve read a lot of books about history over the years, and These Truths by Jill Lepore is the most honest and unflinching account of the American story I’ve ever seen. It’s also one of the most beautifully written. "
168,Check out my end of year books list (plus a bonus recommendation) on . 
169,December is a great time to take stock of everything you’ve done over the last twelve months—including all of the books you’ve read. I found these books to be really clever and engaging. I hope you them find as intriguing as I did:  
170,"Back in my early Microsoft days, I routinely pulled all-nighters when we had to deliver a piece of software. I even stayed up two nights in a row on occasion–I don’t recommend that. This book taught me a lot about the importance of a better night's sleep. "
171,This new treatment is a gamechanger for millions of people living with HIV in South Africa. I’m optimistic that it could help EndAIDS around the world. 
172,I was deeply moved by Tayari Jones’s story of a married couple whose lives get torn apart by an incident of injustice. The book is so well-written that you’ll find yourself sucked into it despite the heavy subject matter. 
173,Here are two amazing statistics: primary health care interventions could save 60 million lives in low-and middle-income countries and increase average life expectancy by 3.7 years by 2030:  HealthForAll 
174,"Diane Tavenner had a simple but very ambitious goal: “We wanted to teach kids not just what they needed to get into college, but what they needed to live a good life.” You can read an excerpt from her wonderful new book on my blog. "
175,I’ve read a lot of great books this year. Here are some I think you’ll enjoy reading over the holidays. 
176,I'm a big fan of  and was excited when they asked me to appear in the series finale tonight. AlwaysBlue 
177,"Thank you, Sue, for your extraordinary leadership. Melinda and I are grateful for the opportunity we’ve had to learn with and from you over the past five-and-a-half years, and we wish you and your family the best. "
178,"I really enjoyed sitting down with  to talk about the role great cofounders and partners have played in my career, like Paul Allen at Microsoft and  at the Gates Foundation. You can listen to our conversation here:  "
179,Technology has made it faster and easier than ever before for people everywhere to give. I’m inspired by how many people from all over the world participate in GivingTuesday.  
180,I was impressed to see the tremendous impact ’s apprenticeship program is having on students and their community:  
181,"This WorldAIDSDay, I’m excited about breakthroughs in treating and preventing HIV thanks to organizations like the . "
182,"The world has made incredible strides toward ending the AIDS epidemic over the last twenty years, and I’m optimistic that more progress is on the way. Explore the data:  WorldAIDSDay"
183,"At , an auto parts maker in Chattanooga, Tennessee, I saw how the factory is putting high school students on a path to opportunity:  "
184,Dr. LeAndrea Ware is one of the most energetic school leaders I’ve ever met. Her positivity is infectious. It’s no wonder she was recently named the Tennessee principal of the year:  
185,We’re getting closer to having a blood test for Alzheimer’s – which could help doctors detect and diagnose the disease earlier:  
186,"US education may be the hardest issue our foundation works on. A recent visit to The Howard School in Chattanooga, Tennessee reminded me why it’s also one of the most inspiring. "
187,"You could find wild poliovirus in 125 countries in 1988. Today, it exists in just two. And more than 18 million people are walking today who would otherwise have been paralyzed by polio. Here’s why we aren’t done yet:  "
188,"The incredible, diverse global partnership that halted wild polio’s spread in Nigeria 3 years ago makes me optimistic we’ll EndPolio worldwide. "
189,"Some of our most vital partners in the fight to EndPolio are philanthropies like _philan, , Tahir Foundation, Dalio Philanthropies &amp; Ningxia Yanbao Charity Foundation. Their support has helped deliver vaccines and protect millions from polio paralysis. "
190,"Even a single child paralyzed by polio is one too many, but I’m optimistic that we will eradicate the disease thanks to the GPEI’s persistence and creativity. "
191,"In Abu Dhabi this week, the world committed $2.6B to EndPolio. Thank you  for your leadership in helping push this terrible disease to the brink of eradication. "
192," .'s leadership has been a catalyst to India's progress on improving health, nutrition and ensuring safe sanitation practices for many. "
193,"The more I’ve learned about Alzheimer’s disease, the more I’ve come to admire the volunteers who participate in clinical trials, and their caregivers too. Here’s a way you can help fight Alzheimer’s:  "
194,Better tools for collecting and sharing data will help community health workers protect families in the poorest parts of the world.  
195,Expanding the diversity of therapies in the pipeline and more efficiently recruiting patients for clinical trials will increase our odds of discovering a breakthrough. I’m hopeful it will lead to an intervention that reduces the impact of Alzheimer’s. 
196, I’m always willing to talk about creative solutions to these problems.
197," I greatly respect your commitment to finding ways to address wealth inequality and poverty at home. While we may disagree about some of the ways to get there, we certainly agree we need a lot of smart people committed to finding the path forward."
198, You and the other candidates are having a really interesting conversation on how to solve some of the world’s toughest problems like eliminating global poverty and avoiding a climate disaster (though those issues don’t get talked about as much as they should).
199,One of the many awful things about watching someone you love struggle with Alzheimer’s is the feeling of helplessness. You keep thinking that there must be something more you can do. Here's one option. 
